sampleID,nn_score,cent_dist,avg_dist,avg_dist_weighted,x_cent,y_cent,base_cent_dist,num_nn_averaged,init_num_nn,init_nn_score,per_diff_num_nn
sample_1239,0.2174242424242424,0.4147812761209912,0.2549347617392486,0.0088921663629217,-2.197019648013687,-0.4388751502298504,0.3599278740182318,66,115,0.5070434782608696,0.4260869565217391
sample_1198,0.2174782608695651,0.5296536521956167,0.2714412498196418,0.0177212713014533,-3.160573223650825,0.2785931307542908,0.5417054244932044,115,199,0.5020100502512563,0.4221105527638191
sample_31,0.2176744186046511,0.293844276813861,0.1942078787786089,0.0041150482694218,2.5431488172368075,-0.520808894837874,0.2782111358398465,43,90,0.5578888888888889,0.5222222222222223
sample_80,0.2177777777777777,1.2352363530156354,0.2838507197180669,0.0034609785136091,2.3298120650290173,-0.1441779869700647,1.0165753695802178,27,78,0.685128205128205,0.6538461538461539
sample_248,0.2180434782608696,0.3927457742597709,0.1581884508931999,0.0036837456226486,-3.2797231350865035,-0.1239548471246655,0.4256940972864429,46,156,0.7291666666666666,0.7051282051282052
sample_643,0.2180952380952381,0.8371749801151405,0.1234279627038719,0.0028401955647139,-3.2028678159163833,-0.1497643536802678,0.8262531686115305,42,190,0.7876842105263158,0.7789473684210526
sample_249,0.2184705882352941,0.3933625469654183,0.2657111077367832,0.0122102197275721,1.1465891188139383,-3.850114239571565,0.3903131351475452,85,130,0.4472307692307692,0.3461538461538461
sample_1065,0.2186111111111111,0.2975459234228925,0.1167042546721232,0.0022471433522305,-1.5032613205184742,1.679562528423105,0.3076483691017964,36,71,0.5360563380281691,0.4929577464788732
sample_433,0.2186111111111111,0.2267490736088935,0.3115764877631562,0.0177887991002223,0.1143730790226131,2.288963150076173,0.2093603678258096,108,182,0.495989010989011,0.4065934065934066
sample_869,0.21875,0.1110129474795339,0.3065628424490367,0.0140430621568494,0.0887819245286934,1.0549945680826178,0.1235410962133995,88,146,0.4863698630136986,0.3972602739726027
sample_611,0.2194202898550724,0.783541183585368,0.2771159308861951,0.009959847251117,-0.3253132554707588,1.2572692808454489,0.7780789437253686,69,246,0.7348780487804879,0.7195121951219512
sample_1046,0.2194444444444444,0.2404063837016239,0.2783165801480208,0.0167892525049085,-3.0584501840026266,0.29556241570039,0.2019082196913303,108,196,0.5226020408163266,0.4489795918367347
sample_62,0.2199999999999999,0.2287288305173861,0.2012510534904954,0.0087242058587174,-3.6238401415454087,0.0833233215256575,0.2454066277157167,76,139,0.5285611510791367,0.4532374100719424
sample_295,0.22,0.2677496771476302,0.3017793357458296,0.0123508064631606,-0.2639540418718501,1.2838226302831943,0.2487284605242063,79,158,0.5605063291139241,0.5
